Project,Bug id,Line number,Suspiciousness score,failed(e),Totalfailed,passed(e),Totalpassed
Math,19,91,1,1,1,0,0
Math,19,105,1,1,1,0,0
Math,19,151,1,1,1,0,0
Math,19,153,1,1,1,0,0
Math,19,155,1,1,1,0,0
Math,19,234,1,1,1,0,0
Math,19,236,1,1,1,0,0
Math,19,238,1,1,1,0,0
Math,19,240,1,1,1,0,0
Math,19,246,1,1,1,0,0
Math,19,247,1,1,1,0,0
Math,19,253,1,1,1,0,0
Math,19,256,1,1,1,0,0
Math,19,288,1,1,1,0,0
Math,19,291,1,1,1,0,0
Math,19,313,1,1,1,0,0
Math,19,314,1,1,1,0,0
Math,19,315,1,1,1,0,0
Math,19,316,1,1,1,0,0
Math,19,317,1,1,1,0,0
Math,19,318,1,1,1,0,0
Math,19,319,1,1,1,0,0
Math,19,320,1,1,1,0,0
Math,19,321,1,1,1,0,0
Math,19,322,1,1,1,0,0
Math,19,323,1,1,1,0,0
Math,19,356,1,1,1,0,0
Math,19,358,1,1,1,0,0
Math,19,359,1,1,1,0,0
Math,19,360,1,1,1,0,0
Math,19,362,1,1,1,0,0
Math,19,363,1,1,1,0,0
Math,19,364,1,1,1,0,0
Math,19,365,1,1,1,0,0
Math,19,505,1,1,1,0,0
Math,19,506,1,1,1,0,0
Math,19,507,1,1,1,0,0
Math,19,510,1,1,1,0,0
Math,19,511,1,1,1,0,0
Math,19,512,1,1,1,0,0
Math,19,514,1,1,1,0,0
Math,19,515,1,1,1,0,0
Math,19,519,1,1,1,0,0
Math,19,520,1,1,1,0,0
Math,19,521,1,1,1,0,0
Math,19,522,1,1,1,0,0
Math,19,529,1,1,1,0,0
Math,19,535,1,1,1,0,0
Math,19,536,1,1,1,0,0
Math,19,537,1,1,1,0,0
Math,19,546,1,1,1,0,0
Math,19,561,1,1,1,0,0
Math,19,569,1,1,1,0,0
Math,19,570,1,1,1,0,0
Math,19,573,1,1,1,0,0
Math,19,574,1,1,1,0,0
Math,19,575,1,1,1,0,0
Math,19,576,1,1,1,0,0
Math,19,578,1,1,1,0,0
Math,19,579,1,1,1,0,0
Math,19,582,1,1,1,0,0
Math,19,583,1,1,1,0,0
Math,19,584,1,1,1,0,0
Math,19,585,1,1,1,0,0
Math,19,588,1,1,1,0,0
Math,19,589,1,1,1,0,0
Math,19,590,1,1,1,0,0
Math,19,591,1,1,1,0,0
Math,19,592,1,1,1,0,0
Math,19,593,1,1,1,0,0
Math,19,594,1,1,1,0,0
Math,19,595,1,1,1,0,0
Math,19,596,1,1,1,0,0
Math,19,598,1,1,1,0,0
Math,19,599,1,1,1,0,0
Math,19,602,1,1,1,0,0
Math,19,604,1,1,1,0,0
Math,19,605,1,1,1,0,0
Math,19,610,1,1,1,0,0
Math,19,611,1,1,1,0,0
Math,19,613,1,1,1,0,0
Math,19,614,1,1,1,0,0
Math,19,615,1,1,1,0,0
Math,19,618,1,1,1,0,0
Math,19,620,1,1,1,0,0
Math,19,621,1,1,1,0,0
Math,19,622,1,1,1,0,0
Math,19,623,1,1,1,0,0
Math,19,624,1,1,1,0,0
Math,19,626,1,1,1,0,0
Math,19,627,1,1,1,0,0
Math,19,628,1,1,1,0,0
Math,19,629,1,1,1,0,0
Math,19,630,1,1,1,0,0
Math,19,631,1,1,1,0,0
Math,19,632,1,1,1,0,0
Math,19,633,1,1,1,0,0
Math,19,635,1,1,1,0,0
Math,19,903,1,1,1,0,0
Math,19,904,1,1,1,0,0
Math,19,905,1,1,1,0,0
Math,19,906,1,1,1,0,0
Math,19,913,1,1,1,0,0
Math,19,916,1,1,1,0,0
Math,19,917,1,1,1,0,0
Math,19,918,1,1,1,0,0
Math,19,919,1,1,1,0,0
Math,19,921,1,1,1,0,0
Math,19,939,1,1,1,0,0
Math,19,942,1,1,1,0,0
Math,19,943,1,1,1,0,0
Math,19,944,1,1,1,0,0
Math,19,945,1,1,1,0,0
Math,19,947,1,1,1,0,0
Math,19,956,1,1,1,0,0
Math,19,957,1,1,1,0,0
Math,19,958,1,1,1,0,0
Math,19,999,1,1,1,0,0
Math,19,1000,1,1,1,0,0
Math,19,1001,1,1,1,0,0
Math,19,1003,1,1,1,0,0
Math,19,1006,1,1,1,0,0
Math,19,1009,1,1,1,0,0
Math,19,1034,1,1,1,0,0
Math,19,1035,1,1,1,0,0
Math,19,1036,1,1,1,0,0
Math,19,1037,1,1,1,0,0
Math,19,1040,1,1,1,0,0
Math,19,1063,1,1,1,0,0
Math,19,1064,1,1,1,0,0
Math,19,1065,1,1,1,0,0
Math,19,1066,1,1,1,0,0
Math,19,1067,1,1,1,0,0
Math,19,1070,1,1,1,0,0
Math,19,1079,1,1,1,0,0
Math,19,1080,1,1,1,0,0
Math,19,1081,1,1,1,0,0
Math,19,1082,1,1,1,0,0
Math,19,1085,1,1,1,0,0
Math,19,1155,1,1,1,0,0
Math,19,1156,1,1,1,0,0
Math,19,1157,1,1,1,0,0
Math,19,1158,1,1,1,0,0
Math,19,1160,1,1,1,0,0
Math,19,1190,1,1,1,0,0
Math,19,1191,1,1,1,0,0
Math,19,1192,1,1,1,0,0
Math,19,1194,1,1,1,0,0
Math,19,1203,1,1,1,0,0
Math,19,1204,1,1,1,0,0
Math,19,1205,1,1,1,0,0
Math,19,1206,1,1,1,0,0
Math,19,1209,1,1,1,0,0
Math,19,1218,1,1,1,0,0
Math,19,1228,1,1,1,0,0
Math,19,1229,1,1,1,0,0
Math,19,1230,1,1,1,0,0
Math,19,1231,1,1,1,0,0
Math,19,1232,1,1,1,0,0
Math,19,1233,1,1,1,0,0
Math,19,1236,1,1,1,0,0
Math,19,1246,1,1,1,0,0
Math,19,1247,1,1,1,0,0
Math,19,1248,1,1,1,0,0
Math,19,1249,1,1,1,0,0
Math,19,1250,1,1,1,0,0
Math,19,1251,1,1,1,0,0
Math,19,1253,1,1,1,0,0
Math,19,1261,1,1,1,0,0
Math,19,1262,1,1,1,0,0
Math,19,1263,1,1,1,0,0
Math,19,1264,1,1,1,0,0
Math,19,1265,1,1,1,0,0
Math,19,1266,1,1,1,0,0
Math,19,1270,1,1,1,0,0
